experiment_name,C,l1_ratio,solver,cv_score,cv_std,holdout_score,total_coef,zero_coef,non_zero_coef
l1_C_1_liblinear,1.0,1.0,liblinear,0.8342952821826062,0.024015253107819972,0.8435754189944135,27,11,16
l1_C_3_liblinear,3,1.0,liblinear,0.8342952821826062,0.023569316330075696,0.8435754189944135,27,8,19
l1_C_10_liblinear,10,1.0,liblinear,0.8314783807741554,0.021147057831447116,0.8379888268156425,27,6,21
l1_C_0.01_liblinear,0.01,1.0,liblinear,0.6165763813651137,0.002749420918840616,0.6871508379888268,27,24,3
l1_C_0.03_liblinear,0.03,1.0,liblinear,0.7695656456219837,0.03863546781371094,0.8212290502793296,27,21,6
l1_C_0.1_liblinear,0.1,1.0,liblinear,0.8131685216192258,0.015533775777186723,0.8268156424581006,27,19,8
l1_C_0.3_liblinear,0.3,1.0,liblinear,0.8215995272333301,0.018403279304230073,0.8324022346368715,27,14,13
l1_C_0.5_liblinear,0.5,1.0,liblinear,0.8286319314488327,0.023935644648004035,0.8435754189944135,27,13,14
l1_C_0.7_liblinear,0.7,1.0,liblinear,0.8342755835713582,0.020636902010115157,0.8435754189944135,27,12,15
l1_C_1.5_liblinear,1.5,1.0,liblinear,0.8342952821826062,0.021394120188937042,0.8435754189944135,27,10,17
l1_C_2_liblinear,2,1.0,liblinear,0.8342952821826062,0.021394120188937042,0.8435754189944135,27,10,17
l1_C_0.7_liblinear,0.7,1.0,liblinear,0.8342755835713582,0.020636902010115157,0.8435754189944135,27,12,15
