
======================================================================
Experiment: 307_dnn_lr_0_001_scheduler_plateau
======================================================================

======================================================================
Cross Validation
======================================================================

Fold 1/5
Fold 0 | 001/200 | loss: 0.6979/0.6809 | acc: 0.4657/0.7063 | lr: 0.00100000 *
Fold 0 | 002/200 | loss: 0.6659/0.6386 | acc: 0.7223/0.7622 | lr: 0.00100000 *
Fold 0 | 003/200 | loss: 0.6257/0.5821 | acc: 0.7417/0.7483 | lr: 0.00100000 *
Fold 0 | 004/200 | loss: 0.5699/0.5178 | acc: 0.7434/0.7832 | lr: 0.00100000 *
Fold 0 | 005/200 | loss: 0.5154/0.4712 | acc: 0.7627/0.8112 | lr: 0.00100000 *
Fold 0 | 006/200 | loss: 0.4787/0.4440 | acc: 0.7891/0.8182 | lr: 0.00100000 *
Fold 0 | 007/200 | loss: 0.4597/0.4306 | acc: 0.8014/0.8182 | lr: 0.00100000 *
Fold 0 | 008/200 | loss: 0.4537/0.4204 | acc: 0.7979/0.8322 | lr: 0.00100000 *
Fold 0 | 009/200 | loss: 0.4554/0.4117 | acc: 0.8049/0.8322 | lr: 0.00100000 *
Fold 0 | 010/200 | loss: 0.4350/0.4056 | acc: 0.8155/0.8392 | lr: 0.00100000 *
Fold 0 | 011/200 | loss: 0.4342/0.4008 | acc: 0.8172/0.8322 | lr: 0.00100000 *
Fold 0 | 012/200 | loss: 0.4168/0.3982 | acc: 0.8295/0.8392 | lr: 0.00100000 *
Fold 0 | 013/200 | loss: 0.4286/0.3924 | acc: 0.8260/0.8531 | lr: 0.00100000 *
Fold 0 | 014/200 | loss: 0.4239/0.3906 | acc: 0.8260/0.8462 | lr: 0.00100000 *
Fold 0 | 015/200 | loss: 0.4175/0.3884 | acc: 0.8225/0.8462 | lr: 0.00100000 *
Fold 0 | 016/200 | loss: 0.4146/0.3846 | acc: 0.8278/0.8531 | lr: 0.00100000 *
Fold 0 | 017/200 | loss: 0.4131/0.3840 | acc: 0.8401/0.8601 | lr: 0.00100000 *
Fold 0 | 018/200 | loss: 0.4036/0.3813 | acc: 0.8278/0.8462 | lr: 0.00100000 *
Fold 0 | 019/200 | loss: 0.4093/0.3816 | acc: 0.8243/0.8392 | lr: 0.00100000 
Fold 0 | 020/200 | loss: 0.4104/0.3791 | acc: 0.8225/0.8462 | lr: 0.00100000 *
Fold 0 | 021/200 | loss: 0.3921/0.3770 | acc: 0.8471/0.8531 | lr: 0.00100000 *
Fold 0 | 022/200 | loss: 0.4028/0.3765 | acc: 0.8313/0.8531 | lr: 0.00100000 *
Fold 0 | 023/200 | loss: 0.3974/0.3766 | acc: 0.8313/0.8601 | lr: 0.00100000 
Fold 0 | 024/200 | loss: 0.4057/0.3740 | acc: 0.8366/0.8531 | lr: 0.00100000 *
Fold 0 | 025/200 | loss: 0.3970/0.3754 | acc: 0.8401/0.8531 | lr: 0.00100000 
Fold 0 | 026/200 | loss: 0.3929/0.3754 | acc: 0.8418/0.8601 | lr: 0.00100000 
Fold 0 | 027/200 | loss: 0.3786/0.3749 | acc: 0.8489/0.8531 | lr: 0.00100000 
Fold 0 | 028/200 | loss: 0.4023/0.3739 | acc: 0.8366/0.8531 | lr: 0.00100000 
Fold 0 | 029/200 | loss: 0.3955/0.3717 | acc: 0.8383/0.8462 | lr: 0.00100000 *
Fold 0 | 030/200 | loss: 0.3878/0.3730 | acc: 0.8471/0.8531 | lr: 0.00100000 
Fold 0 | 031/200 | loss: 0.3786/0.3722 | acc: 0.8524/0.8462 | lr: 0.00100000 
Fold 0 | 032/200 | loss: 0.3832/0.3720 | acc: 0.8366/0.8462 | lr: 0.00100000 
Fold 0 | 033/200 | loss: 0.3843/0.3746 | acc: 0.8541/0.8531 | lr: 0.00100000 
Fold 0 | 034/200 | loss: 0.3787/0.3717 | acc: 0.8418/0.8462 | lr: 0.00100000 
Fold 0 | 035/200 | loss: 0.3788/0.3720 | acc: 0.8436/0.8392 | lr: 0.00100000 
Fold 0 | 036/200 | loss: 0.3744/0.3719 | acc: 0.8453/0.8392 | lr: 0.00050000 
Fold 0 | 037/200 | loss: 0.3852/0.3716 | acc: 0.8436/0.8392 | lr: 0.00050000 
Fold 0 | 038/200 | loss: 0.3822/0.3716 | acc: 0.8453/0.8392 | lr: 0.00050000 
Fold 0 | 039/200 | loss: 0.3832/0.3718 | acc: 0.8524/0.8392 | lr: 0.00050000 
Fold 0 | 040/200 | loss: 0.3820/0.3725 | acc: 0.8383/0.8392 | lr: 0.00050000 
Fold 0 | 041/200 | loss: 0.3682/0.3728 | acc: 0.8559/0.8392 | lr: 0.00050000 
Fold 0 | 042/200 | loss: 0.3742/0.3727 | acc: 0.8489/0.8392 | lr: 0.00025000 
Fold 0 | 043/200 | loss: 0.3648/0.3729 | acc: 0.8524/0.8392 | lr: 0.00025000 
Fold 0 | 044/200 | loss: 0.3770/0.3726 | acc: 0.8471/0.8392 | lr: 0.00025000 
Fold 0 | Early stopping on epoch 44
Fold 0 | 029/200 | loss: 0.3955/0.3717 | acc: 0.8383/0.8462 | lr: 0.00100000
Fold 0 | Best epoch: 29 | Best validation loss: 0.3717
Fold 0 | Accuracy: 0.8462 | Best epoch: 29 | Best loss: 0.3717

Fold 2/5
Fold 1 | 001/200 | loss: 0.7079/0.6884 | acc: 0.3989/0.4895 | lr: 0.00100000 *
Fold 1 | 002/200 | loss: 0.6740/0.6518 | acc: 0.6503/0.7133 | lr: 0.00100000 *
Fold 1 | 003/200 | loss: 0.6327/0.6049 | acc: 0.7118/0.7413 | lr: 0.00100000 *
Fold 1 | 004/200 | loss: 0.5773/0.5529 | acc: 0.7276/0.7413 | lr: 0.00100000 *
Fold 1 | 005/200 | loss: 0.5321/0.5076 | acc: 0.7399/0.7483 | lr: 0.00100000 *
Fold 1 | 006/200 | loss: 0.4922/0.4712 | acc: 0.7645/0.8112 | lr: 0.00100000 *
Fold 1 | 007/200 | loss: 0.4676/0.4462 | acc: 0.7909/0.8112 | lr: 0.00100000 *
Fold 1 | 008/200 | loss: 0.4441/0.4329 | acc: 0.8155/0.8182 | lr: 0.00100000 *
Fold 1 | 009/200 | loss: 0.4294/0.4231 | acc: 0.8137/0.8392 | lr: 0.00100000 *
Fold 1 | 010/200 | loss: 0.4341/0.4201 | acc: 0.8155/0.8322 | lr: 0.00100000 *
Fold 1 | 011/200 | loss: 0.4228/0.4180 | acc: 0.8278/0.8252 | lr: 0.00100000 *
Fold 1 | 012/200 | loss: 0.4157/0.4169 | acc: 0.8330/0.8182 | lr: 0.00100000 *
Fold 1 | 013/200 | loss: 0.4180/0.4127 | acc: 0.8366/0.8252 | lr: 0.00100000 *
Fold 1 | 014/200 | loss: 0.4084/0.4124 | acc: 0.8418/0.8252 | lr: 0.00100000 *
Fold 1 | 015/200 | loss: 0.3902/0.4129 | acc: 0.8366/0.8042 | lr: 0.00100000 
Fold 1 | 016/200 | loss: 0.4017/0.4132 | acc: 0.8260/0.8112 | lr: 0.00100000 
Fold 1 | 017/200 | loss: 0.3988/0.4158 | acc: 0.8418/0.8042 | lr: 0.00100000 
Fold 1 | 018/200 | loss: 0.3898/0.4142 | acc: 0.8330/0.8112 | lr: 0.00100000 
Fold 1 | 019/200 | loss: 0.3866/0.4127 | acc: 0.8401/0.8042 | lr: 0.00100000 
