
======================================================================
Experiment: 308_dnn_64_32_16_lr_0_001_plateau
======================================================================

======================================================================
Cross Validation
======================================================================

Fold 1/5
Fold 0 | 001/200 | loss: 0.6873/0.6818 | acc: 0.6169/0.6154 | lr: 0.00030000 *
Fold 0 | 002/200 | loss: 0.6810/0.6754 | acc: 0.6116/0.6154 | lr: 0.00030000 *
Fold 0 | 003/200 | loss: 0.6763/0.6686 | acc: 0.6151/0.6154 | lr: 0.00030000 *
Fold 0 | 004/200 | loss: 0.6672/0.6595 | acc: 0.6186/0.6154 | lr: 0.00030000 *
Fold 0 | 005/200 | loss: 0.6591/0.6467 | acc: 0.6221/0.6154 | lr: 0.00030000 *
Fold 0 | 006/200 | loss: 0.6453/0.6297 | acc: 0.6274/0.6154 | lr: 0.00030000 *
Fold 0 | 007/200 | loss: 0.6262/0.6093 | acc: 0.6274/0.6573 | lr: 0.00030000 *
Fold 0 | 008/200 | loss: 0.6093/0.5862 | acc: 0.6555/0.7203 | lr: 0.00030000 *
Fold 0 | 009/200 | loss: 0.5938/0.5623 | acc: 0.6819/0.7413 | lr: 0.00030000 *
Fold 0 | 010/200 | loss: 0.5628/0.5365 | acc: 0.7188/0.7692 | lr: 0.00030000 *
Fold 0 | 011/200 | loss: 0.5423/0.5138 | acc: 0.7592/0.8042 | lr: 0.00030000 *
Fold 0 | 012/200 | loss: 0.5232/0.4927 | acc: 0.7750/0.8182 | lr: 0.00030000 *
Fold 0 | 013/200 | loss: 0.5108/0.4735 | acc: 0.7926/0.8112 | lr: 0.00030000 *
Fold 0 | 014/200 | loss: 0.4870/0.4577 | acc: 0.7944/0.8322 | lr: 0.00030000 *
Fold 0 | 015/200 | loss: 0.4778/0.4439 | acc: 0.8102/0.8322 | lr: 0.00030000 *
Fold 0 | 016/200 | loss: 0.4796/0.4332 | acc: 0.8014/0.8322 | lr: 0.00030000 *
Fold 0 | 017/200 | loss: 0.4402/0.4264 | acc: 0.8260/0.8252 | lr: 0.00030000 *
