
======================================================================
Experiment: 309_dnn_64_32_16_lr_0_001
======================================================================

======================================================================
Cross Validation
======================================================================

Fold 1/5
Fold 0 | 001/200 | loss: 0.6816/0.6691 | acc: 0.6169/0.6154 | lr: 0.00100000 *
Fold 0 | 002/200 | loss: 0.6595/0.6352 | acc: 0.6169/0.6154 | lr: 0.00100000 *
Fold 0 | 003/200 | loss: 0.6264/0.5803 | acc: 0.6327/0.7343 | lr: 0.00100000 *
Fold 0 | 004/200 | loss: 0.5643/0.5105 | acc: 0.7118/0.7972 | lr: 0.00100000 *
Fold 0 | 005/200 | loss: 0.5134/0.4596 | acc: 0.7821/0.8252 | lr: 0.00100000 *
Fold 0 | 006/200 | loss: 0.4844/0.4284 | acc: 0.7944/0.8322 | lr: 0.00100000 *
Fold 0 | 007/200 | loss: 0.4404/0.4092 | acc: 0.8137/0.8392 | lr: 0.00100000 *
Fold 0 | 008/200 | loss: 0.4529/0.4003 | acc: 0.8120/0.8462 | lr: 0.00100000 *
Fold 0 | 009/200 | loss: 0.4487/0.3957 | acc: 0.8207/0.8392 | lr: 0.00100000 *
Fold 0 | 010/200 | loss: 0.4187/0.3881 | acc: 0.8330/0.8462 | lr: 0.00100000 *
Fold 0 | 011/200 | loss: 0.4169/0.3845 | acc: 0.8330/0.8531 | lr: 0.00100000 *
Fold 0 | 012/200 | loss: 0.4095/0.3813 | acc: 0.8348/0.8531 | lr: 0.00100000 *
Fold 0 | 013/200 | loss: 0.4089/0.3742 | acc: 0.8506/0.8531 | lr: 0.00100000 *
Fold 0 | 014/200 | loss: 0.4003/0.3778 | acc: 0.8278/0.8531 | lr: 0.00100000 
Fold 0 | 015/200 | loss: 0.3938/0.3751 | acc: 0.8506/0.8462 | lr: 0.00100000 
Fold 0 | 016/200 | loss: 0.4184/0.3712 | acc: 0.8366/0.8462 | lr: 0.00100000 *
Fold 0 | 017/200 | loss: 0.3786/0.3730 | acc: 0.8471/0.8462 | lr: 0.00100000 
Fold 0 | 018/200 | loss: 0.4019/0.3723 | acc: 0.8366/0.8392 | lr: 0.00100000 
Fold 0 | 019/200 | loss: 0.3821/0.3749 | acc: 0.8541/0.8531 | lr: 0.00100000 
Fold 0 | 020/200 | loss: 0.3989/0.3734 | acc: 0.8436/0.8392 | lr: 0.00100000 
Fold 0 | 021/200 | loss: 0.3933/0.3748 | acc: 0.8576/0.8462 | lr: 0.00100000 
Fold 0 | 022/200 | loss: 0.3823/0.3756 | acc: 0.8453/0.8462 | lr: 0.00100000 
